id;created;category_id;pattern_id;instanz_nr;atricle_nr_red;pattern_ref;order_nr;color_garn_vendor_ref;length;foto_mi;foto_ma;foto_red;owner;storage_web;storage;price_red;selled_dt;present_dt;remarks;remarks_article
194;2015-02-21;1;22;1;22.57;1236;;g160,c106;13.5;;;1;2;1;1;7.00;;;;
195;2015-02-21;1;22;1;22.58;1236;;c110,g88,c385;13.5;;;1;2;1;1;7.00;;;;
196;2015-02-21;1;22;1;22.59;1236;;;13.5;;;1;2;1;1;7.00;;;;c145 nicht gefunden, vorher eingegeben c145,g107,sx-pistazie
197;2015-02-21;1;22;1;22.6;1236;;g107,c162;14.0;;;1;2;1;1;7.00;;;;
198;2015-02-21;1;22;1;22.61;1236;;c106,g160,g79;13.5;;;1;2;1;1;7.00;;;;
199;2015-02-21;1;22;1;22.62;1236;;g144,g198,g93;13.0;;;1;2;1;1;7.00;;;;
200;2015-02-21;1;22;1;22.63;1236;;;13.5;;;1;2;1;1;7.00;;;;g98 nicht gefunden, vorher sx-pistazie,g98,g14
201;2015-02-21;1;22;1;22.64;1236;;g160,c110,g118;13.5;;;1;2;1;1;7.00;;;;
202;2015-02-21;1;22;1;22.65;1236;;;13.0;;;1;2;1;1;7.00;;;;g108 nicht gefunden, vorher g108,c226
203;2015-02-21;1;22;1;22.66;1236;;;13.5;;;1;2;;;7.00;2015-03-21;;;
204;2015-02-21;1;22;1;22.67;1236;;g87,g114,g213;13.0;;;1;2;1;1;7.00;;;;
205;2015-02-21;1;22;1;22.68;1236;;g109,c251,g166;13.0;;;1;2;1;1;7.00;;;;
206;2015-02-21;1;22;1;22.69;1236;;g68,c106,g139;14.0;;;1;2;1;1;7.00;;;;
207;2015-02-21;1;22;1;22.7;1236;;sx-pistazie,c115,c245;13.0;;;1;2;1;1;7.00;;;;
208;2015-02-21;1;22;1;22.71;1236;;c261,g120,c164;13.5;;;1;2;1;1;7.00;;;;
209;2015-02-21;1;22;1;22.72;1236;;g180,g107,c106;13.0;;;1;2;1;1;7.00;;;;
210;2015-02-21;1;22;1;22.73;1236;;c106,g70,c172;13.5;;;1;2;1;1;7.00;;;;
211;2015-02-21;1;22;1;22.74;1236;;g120,g178,g33;13.5;;;1;2;1;1;7.00;;;;
212;2015-02-21;1;22;1;22.75;1236;;g79,g73,c385;13.5;;;1;2;1;1;7.00;;;;
213;2015-02-21;1;22;1;22.76;1236;;c110,c106,c162;14.5;;;1;2;1;1;7.00;;;;
214;2015-02-21;1;22;1;22.77;1236;;g70,g107;14.0;;;1;2;1;1;7.00;;;;
215;2015-02-21;1;22;1;22.78;1236;;c115,c281,c208;13.5;;;1;2;1;1;7.00;;;;
216;2015-03-06;1;22;1;22.79;1236;;c253,c385,c244;14.5;;;1;2;1;1;7.00;;;;
217;2014-01-02;1;23;1;23.1;;;;15.5;;;1;1;;;11.00;2014-07-05;;;
218;2014-01-02;1;23;1;23.2;;;;14.5;;;1;1;;;10.00;2014-07-05;;;
219;2014-01-02;1;24;1;24.1;;;;14.0;;;1;1;;1;14.00;;;;
220;2014-01-02;1;25;1;25.1;;;;14.0;;;1;1;;1;10.00;;;;
221;2014-01-02;1;26;1;26.1;;;;15.0;;;1;1;;;7.00;2014-07-05;;Spezialpreis: kurz Zöpfe;
222;2014-01-02;1;27;1;27.1;;;;14.0;;;1;1;;;9.00;2014-12-06;;;
223;2014-01-02;1;28;1;28.1;;;;16.0;;;1;1;;1;12.00;;;;
224;2014-01-02;1;29;1;29.1;;;;15.0;;;1;1;;;13.00;2015-07-04;;;
225;2014-01-02;1;30;1;30.1;;;;16.0;;;1;1;;1;14.00;;;;
226;2014-01-02;1;31;1;31.1;;;;15.0;;;1;1;;1;15.00;;;;
227;2014-01-02;1;32;1;32.1;;;;15.0;;;1;1;1;1;9.00;;;;
228;2014-01-02;1;32;1;32.2;;;;14.0;;;1;1;;1;8.00;;;;
229;2014-01-02;1;33;1;33.1;;;;14.0;;;1;1;;1;12.00;;;;
230;2014-01-02;1;33;1;33.2;;;;12.0;;;1;1;;1;10.00;;;;
231;2014-04-18;1;33;1;33.3;;;c110,c106,c114,c246,c259;12.5;;151015_2_ma0/3130;1;1;1;1;10.00;;;;
232;2014-02-14;1;33;1;33.4;;;;13.0;;;1;1;;1;11.00;;;;
233;2014-02-14;1;33;1;33.5;;;;12.0;;;1;1;;1;10.00;;;;
234;2014-01-02;1;34;1;34.1;;;;15.0;;;1;1;;1;11.00;;;;
235;2014-01-02;1;34;1;34.2;;;;13.0;;;1;1;;1;9.00;;;;
236;2014-10-05;1;34;1;34.3;;;c162,q139,c263,c257;15.0;;151018_1_ma0/3305;1;1;1;1;11.00;;;;
237;2014-10-05;1;34;1;34.4;;;;13.0;;;1;1;1;1;9.00;;;;
238;2014-11-15;1;34;1;34.5;;;c110,c113,c226,c205;14.5;;151018_1_ma0/3284;1;1;1;1;10.00;;;;
239;2014-11-15;1;34;1;34.6;;;c106,c172,c110,c387;14.5;;151018_1_ma0/3300;1;1;1;1;10.00;;;;
240;2014-11-15;1;34;1;34.7;;;c192,c115,c281,c208;14.5;;151015_5_ma0/3235;1;1;1;1;10.00;;;;
241;2014-01-02;1;35;1;35.1;;;;15.0;;;1;1;;;13.00;2015-04-01;;;
242;2014-01-02;1;35;1;35.2;;;;15.0;;;1;1;;;13.00;2014-09-01;;;
243;2014-01-02;1;35;1;35.3;;;;15.0;;;1;1;;;13.00;2014-10-18;;;
244;2014-01-02;1;36;1;36.1;;;;15.0;;;1;1;;;9.00;2014-12-20;;Spezialpreis kürzere Arbeitszeit;
245;2014-01-02;1;36;1;36.2;EM003;;;15.0;;;1;1;;1;5.00;;;Spezialpreis kürzere Arbeitszeit/Reduktion Knopf;
246;2014-06-07;1;36;1;36.3;EM003;;c246,c398,c259;13.5;;151015_2_ma0/3136;1;1;1;1;10.00;;;;
247;2014-06-07;1;36;1;36.4;EM003;;c110,c106;12.5;;151015_4_ma0/3193;1;1;1;1;9.00;;;;
248;2014-06-07;1;36;1;36.5;EM003;;c226,c240,c259;12.5;;151121_3_ma0/3479;1;1;1;1;9.00;;;;
249;2014-06-25;1;36;1;36.6;EM003;;c110,c263;14.0;;151018_1_ma0/3303;1;1;1;1;10.00;;;;
250;2014-01-02;1;37;1;37.1;;;;15.0;;;1;1;;;9.00;2015-10-03;;Spezialpreis;
251;2014-01-02;1;37;1;37.2;;;;15.0;;;1;1;;1;9.00;;;Spezialpreis;
252;2014-01-02;1;37;1;37.3;;;;14.0;;;1;1;;1;9.00;;;;
253;2014-01-02;1;37;1;37.4;;;;15.0;;;1;1;;;9.00;2015-10-03;;Spezialpreis;
254;2014-04-18;1;37;1;37.5;;;;12.5;;;1;1;1;1;7.00;;;;
255;2014-04-18;1;37;1;37.6;;;c253,c162,c106;12.5;;151018_2_ma0/3351;1;1;1;1;7.00;;;;
256;2014-04-18;1;37;1;37.7;;;c110,c106,c115,c281;13.0;;151015_5_ma0/3240;1;1;1;1;9.00;;;Spezialpreis;
